INSTANCE,IP_OBJ
neos-1597104_presolved,-30
neos-1599274_presolved,32075.6
neos-1601936_presolved,3
neos-1605061_presolved,12
neos-1605075_presolved,9
neos-1616732_presolved,159
neos-1620770_presolved,9
neos-1620807_presolved,6
neos-430149_presolved,56.6
neos-476283_presolved,406.363206984
neos-480878_presolved,492.51
neos-494568_presolved,-101
neos-501453_presolved,47454.61
neos-504674_presolved,3635.87
neos-504815_presolved,2296.22
neos-506428_presolved,583780
neos-512201_presolved,513.57
neos-520729_presolved,-1385000
neos-522351_presolved,17891.08
neos-525149_presolved,61
neos-530627_presolved,2995.2
neos-538867_presolved,122
neos-538916_presolved,134
neos-547911_presolved,13
neos-555298_presolved,1174300
neos-555424_presolved,1286800
neos-555694_presolved,18.4
neos-555771_presolved,18.6
neos-555927_presolved,690000
neos-565815_presolved,14
neos-570431_presolved,9
neos-583731_presolved,48
neos-584851_presolved,-11
neos-593853_presolved,1171462873
neos-598183_presolved,18429.98
neos-603073_presolved,16790.24
neos-611838_presolved,1763966.71
neos-612125_presolved,1844367.88
neos-612143_presolved,1795981.08
neos-612162_presolved,1772948.96
neos-631694_presolved,50
neos-631710_presolved,203
neos-655508_presolved,63015042
neos-686190_presolved,6730
neos-693347_presolved,234
neos-709469_presolved,493.16
neos-717614_presolved,12250247.91
neos-738098_presolved,-1099
neos-775946_presolved,15.7
neos-777800_presolved,-80
neos-780889_presolved,3421500
neos-787933_presolved,30
neos-791021_presolved,15
neos-796608_presolved,-48296500
neos-799711_presolved,-11170211.7336377
neos-799716_presolved,4932670.66
neos-801834_presolved,50386
neos-803219_presolved,210.3
neos-803220_presolved,195.4
neos-806323_presolved,215
neos-807639_presolved,454.2
neos-807705_presolved,342.4
neos-810286_presolved,2877
neos-810326_presolved,-44378
neos-820879_presolved,25468
neos-824661_presolved,33
neos-824695_presolved,31
neos-825075_presolved,-272
neos-826250_presolved,28
neos-826650_presolved,29
neos-826694_presolved,58
neos-826812_presolved,58.011
neos-826841_presolved,29.0082
neos-827175_presolved,112
neos-829552_presolved,2.32
neos-839859_presolved,9809653.22
neos-847302_presolved,4
neos-860300_presolved,3201
neos-862348_presolved,96.73
neos-880324_presolved,108.67
neos-885086_presolved,-243
neos-885524_presolved,12320.092
neos-886822_presolved,28755
neos-892255_presolved,14
neos-906865_presolved,3175
neos-911880_presolved,54.76
neos-941698_presolved,-14
neos-913984_presolved,1000
neos-916792_presolved,31.870398371
neos-932816_presolved,15376
neos-933638_presolved,276
neos-933966_presolved,318
neos-934278_presolved,260
neos-934531_presolved,6
neos-935627_presolved,2598
neos-935769_presolved,3010
neos-937511_presolved,3510
neos-941262_presolved,2791
neos-941313_presolved,9361
neos-941698_presolved,2
neos-942830_presolved,16
neos-948126_presolved,2607
neos-948268_presolved,60
neos-955215_presolved,446.5
neos-957270_presolved,0.5
neos-957323_presolved,-237.76
neos-957389_presolved,1.5
neos-984165_presolved,2188
neos10_presolved,-1135
neos11_presolved,9
neos12_presolved,13
neos13_presolved,-95.474806559
neos14_presolved,74333.34334
neos15_presolved,80598.430096861
neos16_presolved,446
neos17_presolved,0.150002577
neos18_presolved,16
neos2_presolved,454.864697
neos20_presolved,-434
neos3_presolved,368.842751
neos4_presolved,-48600000000
neos5_presolved,15
neos6_presolved,83
neos7_presolved,721934
neos8_presolved,-3719
net12_presolved,214
netdiversion_presolved,242
newdano_presolved,65.666666667
nobel-eu-DBE_presolved,608910
noswot_presolved,-41
npmv07_presolved,104810000000
ns1111636_presolved,162
ns1208400_presolved,2
ns1606230_presolved,21
ns1644855_presolved,-1524.333333333
ns1663818_presolved,86
ns1685374_presolved,-13
ns1688347_presolved,27
ns1696083_presolved,45
ns1758913_presolved,-1454.671755
ns1830653_presolved,20622
ns2017839_presolved,77030500000000
ns2081729_presolved,9
ns2122603_presolved,77700060
ns894244_presolved,15
ns894788_presolved,7
nsrand-ipx_presolved,51200
nu120-pr3_presolved,28130
nu60-pr9_presolved,24940
nw04_presolved,16862
ofi_presolved,6155380000
opm2-z10-s2_presolved,-33826
opm2-z11-s8_presolved,-43485
opm2-z12-s14_presolved,-64291
opm2-z12-s7_presolved,-65514
opm2-z7-s2_presolved,-10280
opt1217_presolved,-16
p0033_presolved,3089
p0040_presolved,62027
p0201_presolved,7615
p0282_presolved,258411
p0291_presolved,5223.749
p0548_presolved,8691
p100x588b_presolved,47878
p2756_presolved,3124
p6000_presolved,-2451377
p6b_presolved,-63
p80x400b_presolved,39667
pg_presolved,-8674.342607117
pg5_34_presolved,-14339.353446926
pigeon-10_presolved,-9000
pigeon-11_presolved,-10000
pigeon-12_presolved,-11000
pigeon-13_presolved,-12000
pigeon-19_presolved,-18000
pipex_presolved,788.263
pk1_presolved,11
pp08a_presolved,7350
pp08aCUTS_presolved,7350
probportfolio_presolved,16.734246764
prod1_presolved,-56
protfold_presolved,-31
pw-myciel4_presolved,10
qap10_presolved,340
qiu_presolved,-132.873136947
qnet1_presolved,16029.69268
qnet1_o_presolved,16029.69268
queens-30_presolved,-40
r80x800_presolved,5332
rail01_presolved,-70.5699643
rail02_presolved,-200.449907667
rail03_presolved,-867.093965444446
rail507_presolved,174
ran14x18_presolved,3712
ran14x18-disj-8_presolved,3712
ran16x16_presolved,3823
rd-rplusc-21_presolved,165395
reblock166_presolved,-600052000
reblock354_presolved,-39280521.2281657
reblock420_presolved,-517793000
reblock67_presolved,-34630648.4383316
rentacar_presolved,30356761
rgn_presolved,82.199999
rlp2_presolved,19
rmatr100-p10_presolved,423
rmatr100-p5_presolved,976
rmatr200-p10_presolved,2017
rmatr200-p20_presolved,837
rmatr200-p5_presolved,4521
rmine10_presolved,-1913.88062
rmine6_presolved,-457.18614
rocII-4-11_presolved,-6.652756
rococoB10-011000_presolved,19449
rococoC10-001000_presolved,11460
rococoC11-011100_presolved,20889
roll3000_presolved,12890
rout_presolved,1077.56
roy_presolved,3208.9568
sample2_presolved,375
satellites1-25_presolved,-5
satellites2-60_presolved,-19
satellites2-60-fs_presolved,-19
satellites3-40_presolved,-25
satellites3-40-fs_presolved,-25
sct32_presolved,-17.8875590846508
sentoy_presolved,-7772
set1al_presolved,15869.75
set1ch_presolved,54537.75
set1cl_presolved,6484.25
set3-10_presolved,185179.043049708
set3-15_presolved,124886
set3-20_presolved,159462.572721458
seymour_presolved,423
seymour-disj-10_presolved,287
shs1023_presolved,13136.636273
sp97ar_presolved,660705645.76
sp98ic_presolved,449144758.4
sp98ir_presolved,219676790.4
stein09_presolved,5
stein15_presolved,9
stein27_presolved,18
stein45_presolved,30
stein09_nocard_presolved,5
stein15_nocard_presolved,9
stein27_nocard_presolved,18
stein45_nocard_presolved,30
stp3d_presolved,493.71965
swath_presolved,467.407491
tanglegram1_presolved,5182
tanglegram2_presolved,443
Test3,2673663.265
timtab1_presolved,764772
timtab2_presolved,1096557
toll-like_presolved,610
tr12-30_presolved,130596
transportmoment_presolved,-3063103721.717
triptim1_presolved,22.8681
triptim2_presolved,12.0051
triptim3_presolved,13.5311
tw-myciel4_presolved,10
uc-case3_presolved,7204.918769
uct-subprob_presolved,314
umts_presolved,30090328
unitcal_7_presolved,19635558.2440195
usAbbrv-8-25_70_presolved,120
vpm1_presolved,20
vpm2_presolved,13.75
vpphard_presolved,5
vpphard2_presolved,81
wachplan_presolved,-8
wnq-n100-mw99-14_presolved,259
zib54-UUE_presolved,10334015.82
